title, date,summary, url, keywords, video_or_foto_url, category, source, source_id
"В администрации Трампа прошли совещания после конфликта с Маском","2025-06-06 03:01:00.0","Дональд Трамп Фото: Brendan McDermid / Reuters Юлия Мискевич Сотрудники администрации президента США Дональда Трампа провели ряд экстренных совещаний по поводу публичного конфликта президента США с миллиардером Илоном Маском. Об этом сообщает Reuters. Как уточняют источники, на переговорах обсуждали последствия скандальных заявлений Маска в соцсети Х. Между главой Белого дома Дональдом Трампом и американским предпринимателем Илоном Маском произошел конфликт. В конце мая стало известно, что миллиардер принял решение покинуть свой пост в администрации президента, где он занимал должность главы Департамента государственной эффективности США (DOGE). Однако спустя несколько дней Маск резко раскритиковал законопроект Трампа о сокращении федеральных расходов, который тот назвал «единым, большим и красивым».","https://lenta.ru/news/2025/06/06/v-administratsii-trampa-proshli-soveschaniya-posle-konflikta-s-maskom/","администрации, трампа, маском, президента, reuters","https://icdn.lenta.ru/images/2025/06/06/03/20250606030322747/detail_38c62d8d2bbe0ec5449185c8ae7628f8.jpg","Политика","Lenta.ru","1848215"
"В России рассказали о возможном ответе на теракты Украины","2025-06-06 02:35:00.0","Фото: РИА Новости / РИА Новости Евгений Силаев Вооруженные силы (ВС) России в ответ на недавние теракты Украины могут нанести комбинированный удар по военным объектам и предприятиям военно-промышленного комплекса беспилотными летательными аппаратами (БПЛА), а также баллистическими ракетами типа «Искандер» и «Кинжал». О возможном ответе рассказал главный редактор журнала «Национальная оборона» Игорь Коротченко в беседе с РИА Новости. По его словам, при планировании удара возмездия будет учитываться возможность использования Украиной западных систем противовоздушной обороны (ПВО). «По заранее назначенным объектам на Украине могут быть применены как баллистические ракеты, включая, очевидно, комплексы 'Искандер-М' и 'Кинжал', а также, возможно, и иные ракетные комплексы, крылатые ракеты морского и воздушного базирования, при наличии, повторюсь, соответствующего политического решения», — подчеркнул Коротченко. Он уточнил, что целями ударов могут стать объекты железнодорожной, морской и иной логистики, используемые для поставки и транспортировки вооружения, а также места сборки вооружения и военной техники. Ранее украинские паблики сообщили о взлете стратегических бомбардировщиков в России. Также появились сведения о выходе в Черное море носителей ракет «Калибр». Однако официально информация не подтверждалась.","https://lenta.ru/news/2025/06/06/v-rossii-rasskazali-o-vozmozhnom-otvete-na-terakty-ukrainy/","также, россии, новости, могут, вооружения","https://icdn.lenta.ru/images/2025/06/06/02/20250606023605156/detail_6157c843f9db461ed5da413559801025.jpg","Спорт","Lenta.ru","1848209"
"Бывшего председателя Нижегородской гордумы объявили в розыск","2025-06-06 02:18:00.0","Фото: Freepik Юлия Мискевич Председатель городской думы Нижнего Новгорода в 2018-2020 годах Дмитрий Барыкин объявлен в розыск по уголовной статье. Об этом сообщает ТАСС со ссылкой на МВД России. Название статьи не уточняется. До этого в Москве заочно осудили главу «Бюро 17» Александрину Маркво за отмывание бюджетных денег. Ранее суд Донецкой народной республики (ДНР) утвердил обвинительное заключение по уголовному делу 33-летнего гражданина Великобритании Гэри Бонини.","https://lenta.ru/news/2025/06/06/eks-predsedatelya-nizhegorodskoy-gordumy-ob-yavili-v-rozysk/","розыск, юлия, бюро, дмитрий, гэри","https://icdn.lenta.ru/images/2025/06/06/02/20250606022828460/detail_24227d9cd28315635ca15384afb0fcc4.jpg","Общее","Lenta.ru","1848207"
"В Ставропольском крае подготовили партию дронов с повышенной грузоподъемностью","2025-06-06 02:02:02.0","Фото: Пресс-служба Южного военного округа Даниил Иринин Волонтеры и конструкторы из Кочубеевского района Ставропольского края подготовили новую партию FPV-дронов с повышенной грузоподъемностью для участников специальной военной операции (СВО). Об этом сообщили в Министерстве обороны (МО) России. Отмечается, что благодаря усиленной раме квадрокоптеры могут нести груз весом до четырех килограммов, а дальность полета составляет 28 километров. Часть деталей для дронов изготавливают на 3D-принтерах. «Перед отгрузкой FPV-дроны проходят этапы установки необходимого программного обеспечения и проверки всех систем. После завершения изготовления, партии направляются в подразделения Южного военного округа (ЮВО) в зону проведения СВО для боевого применения», — говорится в сообщении. Ранее в июне стало известно, что десантники группировки войск «Днепр» Вооруженных сил России в зоне СВО начали применять многоцелевые FPV-дроны «Заноза», способные доставлять боеприпасы, провиант или наносить удары.","https://lenta.ru/news/2025/06/06/v-stavropolskom-krae-podgotovili-partiyu-dronov-s-povyshennoy-gruzopod-emnostyu/","дронов, партию, южного, военного, россии","https://icdn.lenta.ru/images/2025/06/05/14/20250605142616529/detail_66a08eb1651f71482a2f399750ae93fb.jpg","СВО","Lenta.ru","1847844"
"Маск сделал репост видео с Трампом на вечеринке Эпштейна","2025-06-06 02:02:00.0","Илон Маск Фото: Nathan Howard / Reuters Марина Совина Американский предприниматель Илон Маск сделал репост видео с президентом США Дональдом Трампом на вечеринке миллиардера Джеффри Эпштейна. Видео опубликовано на странице бизнесмена в социальной сети X. Маск опубликовал публикацию другого пользователя с фрагментом репортажа телеканала MSNBC. На кадрах видно, как Трамп проводит время на вечеринке Эпштейна, которая прошла в 1992 году. Ранее предприниматель заявил, что Трамп фигурирует в деле против Эпштейна. По его словам, по этой причине файлы по делу публикуют не полностью. Также Маск поддержал идею об объявлении импичмента Трампу и передаче власти вице-президенту Джей-Ди Вэнсу. До этого миллиардер подверг резкой критике «большой, красивый» законопроект Трампа, назвав его «отвратительной мерзостью».","https://lenta.ru/news/2025/06/06/mask-sdelal-repost-video-s-trampom-na-vecherinke-epshteyna/","маск, эпштейна, видео, вечеринке, предприниматель","https://icdn.lenta.ru/images/2025/06/06/02/20250606021046282/detail_4f9f1fb9dabea29fc58dd324781c42c4.jpg","Политика","Lenta.ru","1848205"
"Учительницу арестовали за секс с 15-летним","2025-06-06 02:01:48.0","Кадр: ABC News Никита Савин В Австралии арестовали учительницу из штата Новый Южный Уэльс, которая совратила 15-летнего ученика. Об этом сообщает ABC News. За решеткой оказалась Карли Рэй, которая преподавала в школе города Лейк-Маккуори. По данным следствия, женщина некоторое время переписывалась со школьником в социальных сетях, а в октябре 2024 года занялась с ним сексом. Помимо изнасилования, учительницу обвинили в жестоком обращении с детьми, хранении материалов о насилии над детьми и подстрекательстве ребенка к незаконным сексуальным действиям. В среду, 4 июня, Рэй отказалась признать себя виновной в суде. Она также отвергла обвинения в попытке повлиять на ход следствия. Следующее заседание по ее делу назначено на 3 июля. Ранее в США арестовали учительницу из штата Канзас, которая напоила алкоголем и совратила двоих учеников. Женщина также пыталась заняться сексом с третьим пострадавшим. ","https://lenta.ru/news/2025/06/06/uchitelnitsu-arestovali-za-seks-s-15-letnim/","учительницу, которая, арестовали, детьми, совратила","https://icdn.lenta.ru/images/2025/06/05/13/20250605133820875/detail_d31b4b87676e5faa99b0fe9a94ec508b.jpg","Общее","Lenta.ru","1847771"
"Врач предупредила о последствиях позднего начала половой жизни","2025-06-06 02:01:36.0","Фото: Unsplash Александра Лисица Позднее начало половой жизни может иметь как позитивные, так и негативные последствия для здоровья, предупредила репродуктолог Альфия Сугурова. Такое мнение она выразила в беседе с изданием Ufacitynews. Позднее начало половой жизни, по словам Сугуровой, может привести к чувству неуверенности или неполноценности, нарушению социальных связей, особенно если человек испытывает давление со стороны сверстников. Однако для некоторых это может быть положительным опытом, так как они могут чувствовать себя более готовыми и уверенными, считает врач. Кроме того, при позднем начале сексуальной жизни человек может устанавливать более сильные эмоциональные связи и иметь меньший риск заболеваний, передающихся половым путем (ЗППП). В то же время отсутствие опыта может повысить риск травм или дискомфорта в процессе, уточнила Сугурова. При этом, продолжила репродуктолог, позднее начало половой жизни может повлиять на репродуктивное здоровье некоторых людей, особенно если у человека есть проблемы с фертильностью из-за других причин. Ранее психолог Елена Соловьева назвала лучший возраст для первых отношений. По ее словам, в возрасте от 18 до 25 лет должна случиться первая любовь, первые отношения.","https://lenta.ru/news/2025/06/06/vrach-predupredila-o-posledstviyah-pozdnego-nachala-polovoy-zhizni/","может, жизни, половой, позднее, начало","https://icdn.lenta.ru/images/2025/06/05/14/20250605141728205/detail_7e7b91d4cdbf375bac945186d3e97e64.jpg","Общее","Lenta.ru","1847823"
"Оборонные предприятия Франции забили тревогу из-за перевооружения страны в кредит","2025-06-06 01:57:00.0","Фото: Unsplash Александра Синицына Власти Франции задолжали своим предприятиям 8 миллиардов евро по оборонным заказам, Министерство Вооруженных сил страны обязалось оплатить всю сумму до конца года. Компании бьют тревогу в связи с тем, что государство перевооружается в кредит, передает телеканал BFMTV. По данным СМИ, это затрагивает военную технику, которую уже заказали у представителей оборонной промышленностей, но пока не оплатили. Беспокойство из-за неоплаченных счетов выразили несколько компаний, в том числе Airbus и Thales. В 2024 году парламент Франции принял закон о военном планировании, который включает финансирование перевооружения страны до 2030 года на сумму 413 миллиардов евро. Тем не менее «часть бюджета уже израсходована, поскольку 99 миллиардов евро пойдут на выполнение прежних обязательств». Предполагается, что на новые заказы может остаться не так много средств. Ранее Париж предоставил Украине бюджетные гарантии на 1,5 миллиарда евро для закупки вооружений у французских оборонных предприятий. До этого министр обороны Франции Себастьян Лекорню анонсировал поставки Киеву гаубиц Caesar и других вооружения на 200 миллионов евро.","https://lenta.ru/news/2025/06/06/oboronnye-predpriyatiya-frantsii-zabili-trevogu-iz-za-perevooruzheniya-strany-v-kredit/","евро, франции, миллиардов, страны, кредит","https://icdn.lenta.ru/images/2025/06/06/01/20250606015925677/detail_5d5f8948e9aa0607f36e11a8f355e903.jpg","Политика","Lenta.ru","1848204"
"В Раде заявили о постигшем Трампа проклятии Зеленского","2025-06-06 01:50:44.0","Фото: Brian Snyder / Reuters Евгений Силаев На президента США Дональда Трампа подействовало проклятие украинского лидера Владимира Зеленского, ситуация похожа на старые фильмы про ведьм. Об этом заявил депутат Верховной Рады Артем Дмитрук в своем Telegram-канале. «Центр проклятия в Киеве. Точнее на Банковой. За детьми прячется! Проклятие Банковой действует. И скоро его почувствуют даже те, кто считал себя неуязвимыми», — написал Дмитрук. Ранее между главой Белого дома Дональдом Трампом и американским предпринимателем Илоном Маском произошел конфликт. В конце мая стало известно, что миллиардер принял решение покинуть свой пост в администрации президента, где он занимал должность главы Департамента государственной эффективности США (DOGE).","https://lenta.ru/news/2025/06/06/v-rade-zayavili-o-postigshem-trampa-proklyatii-zelenskogo/","зеленского, банковой, дмитрук, трампа, проклятие","https://icdn.lenta.ru/images/2025/06/06/01/20250606015044824/detail_1ed8692bc9e2af2d6d695151afbbe732.jpg","Политика","Lenta.ru","1848203"
"Родителей лишили свободы за плохую чистку зубов их детей","2025-06-06 01:28:00.0","Фото: Sergey Bulkin / News.ru / Global Look Press Евгений Силаев В Швеции супружескую пару приговорили в восьми месяцам лишения свободы за плохую чистку зубов их детей. Об этом сообщило издание Aftonbladet. Расследование началось после посещения детьми стоматологической клиники в городе Бурос. У несовершеннолетних диагностировали глубокий кариес, приведший к необходимости удалить несколько зубов. Кроме того, у них также появились абсцессы, инфекции и воспаления. Прокурор София Брюнгельссон выступила за лишение супругов свободы, так как они не обеспечили уход за здоровьем детей. Обвиняемые отрицали свою вину. Суд встал на сторону обвинения и приговорил супругов к восьми месяцам лишения свободы. «Родители несут ответственность за заботу о своих детях, и я считаю, что тот тип пренебрежения, который мы здесь видим, является преступным», — подчеркнула Брюнгельссон. Ранее стало известно, что в Кунгуре осудят пару приемных родителей, которая дождалась 18-летия своей дочери и ограбила ее на улице.","https://lenta.ru/news/2025/06/06/roditeley-lishili-svobody-za-plohuyu-chistku-zubov-ih-detey/","свободы, зубов, детей, чистку, месяцам","https://icdn.lenta.ru/images/2025/06/06/01/20250606013817654/detail_7e6158112671ee9fa946992fb2924634.jpg","Общее","Lenta.ru","1848201"
"Число отравившихся в следовавшем в Анапу поезде детей выросло","2025-06-06 01:28:00.0","Фото: Наталья Селиверстова / РИА Новости Марина Совина Число отравившихся в поезде Екатеринбург – Анапа детей выросло до 22. Об этом сообщили в Министерстве здравоохранения Свердловской области. Отмечается, что 14 детей поместили в стационар. У них обнаружили норовирус второго генотипа. «По прибытии поезда в Анапу все дети были направлены в городскую детскую больницу для осмотра врачами-инфекционистами», — говорится в сообщении ведомства. До этого инфекцию подхватили восемь детей. Их высадили в Воронежской области и отправили в больницу вместе с одним сопровождающим. Ранее стало известно, что в Угличе Ярославской области десятки человек отравились на теплоходе «Михаил Булгаков» во время круиза. В итоге было возбуждено дело по части 1 статьи 236.","https://lenta.ru/news/2025/06/06/chislo-otravivshihsya-v-sledovavshem-v-anapu-poezde-detey-vyroslo/","детей, области, анапу, поезде, число","https://icdn.lenta.ru/images/2025/06/06/01/20250606013514591/detail_1e6dd33cbab4b8e4c889bc0834ba4c92.jpg","Общее","Lenta.ru","1848202"
"В Германии подняли истребители для сопровождения Ил-20","2025-06-06 01:04:00.0","Фото: Tobias Schwarz / Reuters Юлия Мискевич Истребители Военно-воздушных сил (ВВС) Германии подняли в небо для сопровождения российского самолета Ил-20. Об этом сообщает издание Focus. Уточняется, что российское воздушное судно двигалось в международном воздушном пространстве над Балтийским морем близ проведения учений НАТО. Кроме того, оно не выходило на связь. По информации Focus, это шестой по счету схожий инцидент в этом году. Ранее журнал Military Watch Magazine сообщил о том, что Украина присоединилась к платформе НАТО по прямому обмену данными с истребителями и системами ПВО альянса.","https://lenta.ru/news/2025/06/06/v-germanii-podnyali-istrebiteli-dlya-soprovozhdeniya-il-20/","focus, этом, сопровождения, истребители, подняли","https://icdn.lenta.ru/images/2025/06/06/01/20250606010941416/detail_46a4ca337646d8a265c0e2405660f95b.jpg","Общее","Lenta.ru","1848198"
"Заболевших в поезде детей поместили в стационар","2025-06-06 01:01:00.0","Фото: Alexander Legky / Global Look Press Евгений Силаев 14 детей, отравившихся в поезде Екатеринбург — Анапа, поместили в стационар, у них обнаружили норовирус. Об этом сообщил Минздрав Свердловской области в своем Telegram-канале. «По итогам обследования 14 детей, у которых при экспресс-тестировании выявлен норовирус 2 генотипа, оставлены под наблюдением в условиях стационара», — говорится в сообщении. Уточняется, что остальные дети находятся в изоляторе лагеря «Жемчужина» под медицинским наблюдением. В свою очередь, госпитализированные в Воронежской области пассажиры готовятся к выписке, после чего их привезут в лагерь. Ранее сообщалось, что в пассажирском поезде, следовавшем из Екатеринбурга в Анапу, произошла вспышка кишечной инфекции среди группы из 50 детей. Восьмерых пассажиров высадили в Воронежской области и отправили в больницу вместе с одним сопровождающим.","https://lenta.ru/news/2025/06/06/zabolevshih-v-poezde-detey-pomestili-v-statsionar/","детей, поезде, области, стационар, наблюдением","https://icdn.lenta.ru/images/2025/06/06/01/20250606010839739/detail_792ddbb46cd6ffd7c6f1ed02141b8f64.jpg","Общее","Lenta.ru","1848197"
"Женщины массово пожалели о пластике и стали возвращать природную внешность.","2025-06-06 00:01:00.0","","https://lenta.ru/extlink/2025/06/04/zhenschiny-massovo-pozhaleli-o-plastike-i-stali-vozvraschat-prirodnuyu-vneshnost/","пожалели, женщины, массово, пластике, возвращать","https://icdn.lenta.ru/images/2025/05/21/18/20250521181354894/detail_c8c3436f4117a37bf4e45300f9eb77cb.jpg","Общее","Lenta.ru","1836598"
